#	type	pattern	pilot	lemma	freq
588	T	A N N	fundamental frequency prediction	fundamental frequency prediction	4
193	T	N	G2P	g2p	21
2978	T	N	GALE	gale	7
	T	A A N	gate recurrent unit	gate recurrent unit	
303	T	A	Gaussian	gaussian	31
172	T	N	GlobalPhone	globalphone	35
655	T	N N N	GlobalPhone Language Models	globalphone language model	4
	T	N	GPU	gpu	
164	T	N	GPUs	gpus	12
269	T	A N N	gradient reversal layer	gradient reversal layer	8
15	T	N	grapheme	grapheme	51
651	T	N C N N	grapheme and phoneme sequences	grapheme and phoneme sequence	4
422	T	N N	grapheme sequence	grapheme sequence	6
	T	N P N N	grapheme to phoneme conversion	grapheme to phoneme conversion	
	T	N N	grapheme vector	grapheme vector	
594	T	A N	grapheme-based model	grapheme-based model	4
1478	T	N	grapheme-phoneme	grapheme-phoneme	
9632	T	N N N	grapheme-phoneme sequence alignment	grapheme-phoneme sequence alignment	
1116	T	N	grapheme-to-phoneme	grapheme-to-phoneme	
130	T	N N	grapheme-to-phoneme conversion	grapheme-to-phoneme conversion	14
267	T	N	Griffin-Lim	griffin-lim	16
286	T	N N N	ground truth audio	ground truth audio	8
338	T	N N N	ground truth samples	ground truth sample	7
2477	T	N N	ground-truth spectrograms	ground-truth spectrograms	2
	T	N	GRU	gru	
	T	N	HCRF	hcrf	
716	T	A N	hidden activation	hidden activation	4
8526	T	A A N N	Hidden Conditional Random Field	hide conditional random field	
104	T	A N	hidden layers	hidden layer	17
321	T	A N N	hidden Markov models	hidden markov model	7
113	T	A N	hidden states	hidden state	15
675	T	A N	hidden units	hidden unit	4
227	T	N	hier-MRASTA	hier-mrasta	9
2294	T	A A	hierarchial MLP-based	hierarchial mlp-based	2
634	T	A A N	hierarchical MLP-based LID	hierarchical mlp-based lid	4
2432	T	A A N	hierarchical MLP-based phone	hierarchical mlp-based	2
	T	A	HMM-based	Hmm-based	
740	T	A N	HMM-based ASR	hmm-based asr	4
160	T	A N	HMM-based generation	hmm-based generation	12
243	T	A N N	HMM-based generation synthesis	hmm-based generation synthesis	9
1973	T	A A N N	HMM-based parametric TTS system	hmm-based parametric tts system	2
1105	T	A N	HMM-based speech	hmm-based speech	5
2155	T	A N N	HMM-based speech synthesis	hmm-based speech synthesis	2
1707	T	A N	HMM-based synthesis	hmm-based synthesis	2
301	T	A N	HMM-based TTS	hmm-based tts	8
192	T	N	HMMs	hmms	11
	T	N	human-level	human-level	
	T	N	hyper-parameters	Hyper-parameter	
340	T	N	hyperparameters	hyperparameters	21
468	T	N N	IAF vocoder	iaf vocoder	5
48	T	N N	input representations	input representation	26
	T	A N N	International Phonetic Alphabet	international phonetic alphabet	
	T	N	IPA	ipa	
	T	A	IPA-base	IPA-base	
2277	T	N	K-grams	k-grams	1
573	T	N	Kingma	kingma	4
567	T	N	kostra	kostra	4
2945	T	N	labels	label	32
2586	T	N N N	language model transducers	language model transducer	2
850	T	A	language-dependent	language-dependent	12
818	T	A	language-independent	language-independent	12
2502	T	A A N	language-specific convolutional encoders	language-specific convolutional encoder	2
320	T	N N	layer models	layer model	7
	T	N N	layer normalization	layer normalization	
	T	N	LDA	LDA	
	T	N N	learning rate	learning rate	
2168	T	A N	letter-based	letter-based	2
2508	T	A N N	letter-based phone set	letter-based phone set	2
2418	T	A	letter-to-sound	letter-to-sound	2
182	T	A N	lexical analysis	lexical analysis	22
754	T	A N N	lexical analysis WFST	lexical analysis wfst	7
64	T	N	LibriSpeech	librispeech	24
703	T	N	LibriTTS	libritts	4
1732	T	A N	Light Supervision	light supervision	2
1575	T	R A	lightly supervised	lightly supervised	2
	T	N N N	Linear Discriminant Analysis	Linear Discriminant Analysis	
524	T	A N	linguistic knowledge	linguistic knowledge	5
380	T	N	LJSpeech	ljspeech	6
	T	N	LM-BM	lm-bm	
152	T	N N	log likelihood	log likelihood	13
2608	T	N	log-magnitude	log-magnitude	2
750	T	N N	log-mel spectrograms	log-mel spectrograms	14
751	T	A A N	long short-term memory	long short-term memory	7
733	T	N N	loss function	loss function	4
16	T	N	LSTM	lstm	51
379	T	N N	LSTM layers	lstm layer	6
	T	A	LSTM-based model	Lstm-based model	
1097	T	N	LSTM-RNNs	lstm-rnns	5
188	T	N	LSTMs	lstms	11
544	T	N	LVCSR	lvcsr	4
60	T	N N	machine translation	machine translation	24
264	T	N N	Markov models	markov model	8
	T	N	matrix-vector	matrix-vector	
261	T	A N	maximum likelihood	maximum likelihood	8
584	T	N	MCCs	mccs	4
	T	N N N	mean opinion score	mean opinion score	
	T	N N N	mean square error	mean square error	
	T	N	Mel	mel	
	T	A	mel-cepstral 	mel-cepstral 	
1107	T	A N	mel-cepstral coefficients	mel-cepstral coefficient	5
1251	T	A	mel-scale	mel-scale	4
59	T	N	mel-spectrogram	mel-spectrogram	96
187	T	N N	mel-spectrogram sequence	mel-spectrogram sequence	11
2601	T	N N	mel-spectrograms non-autoregressively	mel-spectrograms non-autoregressively	1
2366	T	A	melcepstral	melcepstral	1
77	T	N	Mellotron	mellotron	41
2643	T	N	Merlin	merlin	14
	T	N	ML-MLP	ml-mlp	
472	T	N	MLP	mlp	
462	T	N	MLPG	mlpg	5
157	T	N	MLPs	mlps	12
52	T	N	MLSP	mlsp	25
2425	T	A N	MMSE criterion	mmse criterion	2
310	T	N N	model architecture	model architecture	7
1377	T	N N	MLP features	mlp feature	2
	T	NN	MLP adaptation	mlp adaptation	
213	T	N	morpheme	morpheme	10
517	T	A N	morphological analysis	morphological analysis	10
258	T	N	morphology	morphology	8
190	T	N	MOS	mo	
96	T	N	MRASTA	mrasta	18
	T	N	MSE	mse	
	T	N N	multi-head	multi-head	
	T	N A N	multi-layer bidirectional encoder	multi-layer bidirectional encoder	
936	T	N N	multi-speaker speech	multi-speaker speech	6
2628	T	N N	multi-speaker training	multi-speaker training	2
	T	N N	multilayer perceptron	multilayer perceptron	
135	T	A N	multilingual model	multilingual model	13
1522	T	A A N	multilingual phoneme-based systems	multilingual phoneme-based system	2
436	T	A N	multilingual setting	multilingual setting	5
1578	T	A N	multilingual systems	multilingual system	2
	T	A N	multilingual text	multilingual text	
1376	T	N N N	multispeaker voice synthesis	multispeaker voice synthesis	2
256	T	N	MUSHRA	mushra	8
574	T	A N N	N-gram language	n-gram language	4
686	T	A N N	natural language processing	natural language processing	4
212	T	N	NetTalk	nettalk	10
239	T	N N	network architecture	network architecture	9
	T	A	network-based	network-based	
419	T	A N	neural machine	neural machine	6
1736	T	A N	neural model	neural model	2
3	T	A N	neural network	neural network	131
513	T	A N N	neural network architecture	neural network architecture	5
638	T	A N N	neural network speech	neural network speech	4
1491	T	A A A	neural network-based acoustic	neural network-base acoustic	2
1259	T	A A N	neural network-based speech	neural network-base speech	2
585	T	A N	Neural Text-to-Speech	neural text-to-speech	4
94	T	A N	neural TTS	neural tts	
65	T	A N	neural vocoder	neural vocoder	23
	T	N	NLP	nlp	
	T	N	NMT	nmt	
509	T	A N	non-autoregressive decoder	non-autoregressive decoder	5
260	T	A N	non-autoregressive model	non-autoregressive model	8
115	T	A N	non-autoregressive ParaNet	non-autoregressive paranet	15
1481	T	A A	non-autoregressive seq2seq	non-autoregressive seq2seq	2
1783	T	A N	non-autoregressive sequence	non-autoregressive sequence	2
998	T	A N	non-autoregressive text-to-spectrogram	non-autoregressive text-to-spectrogram	3
	T	A	one-hot	one-hot	
874	T	N N	one-hot vector	one-hot vector	6
171	T	A N	Open Source	open source	12
1805	T	A N A N	Open Source Neural Network	open source neural network	2
78	T	N N	Opinion Score	opinion score	20
273	T	N N A	output language acoustic	output language acoustic	8
86	T	N N	output layer	output layer	19
1153	T	A N N	parallel mel-spectrogram	parallel mel-spectrogram	2
319	T	A A N	parallel neural vocoder	parallel neural vocoder	7
755	T	A N	parallel waveform	parallel waveform	7
	T	N N	parametric synthesis	parametric synthesis	
	T	N N	parametric TTS	parametric tts	
24	T	N	ParaNet	paranet	46
331	T	N	Part-of-Speech	part-of-speech	7
	T	N	PER	per	
	T	N A	phone mapping	phone mapping	
757	V[s]	N N N	phone posterior probabilities	phone posterior probability	4
	T	N N	phone set	phone set	
	T	N	phone-base	phone-base	
2556	T	N	phone-sets	phone-sets	2
1	T	N	phoneme	phoneme	298
27	T	N N	phoneme duration	phoneme duration	43
308	T	N N N	phoneme error rate	phoneme error rate	7
737	T	N N	phoneme labels	phoneme label	4
	T	N N N	phoneme pair error rate	phoneme pair error rate	
702	T	N N	phoneme recognizers	phoneme recognizer	4
50	T	N N	phoneme sequence	phoneme sequence	26
1738	T	A N	phoneme-based	phoneme-based	2
	T	N	phoneme-by-phoneme	phoneme-to-phoneme	
48	V[s]	A N N	phonemic input representation	phonemic input representation	4
1115	T	A N	phonemic lexicon	phonemic lexicon	
57	T	A	phonetic	phonetic	49
665	T	A N	phonetic-to-acoustic	phonetic-to-acoustic	4
232	T	A	phonological	phonological	9
292	T	N	phonology	phonology	8
304	T	A	phonotactic	phonotactic	15
299	T	A N	phonotactic constraints	phonotactic constraint	8
	T	N	pitch	pitch	
1109	T	A A N	PLP cepstral features	plp cepstral feature	5
1636	T	N N	POS tagger	po tagger	2
632	T	N N	POS tags	po tag	4
1094	T	N N	post-processing network	post-processing network	5
	T	N	PPER	pper	
259	T	N N N	probability density function	probability density function	8
	T	N N	pronunciation dictionaries	pronunciation dictionary	
42	T	N	prosody	prosody	30
	T	N	QRNN	qrnn	
2343	T	N	quinphone	quinphone	2
709	T	A N	raw spectrogram	raw spectrogram	4
602	T	A N	raw waveform	raw waveform	4
	T	A N	recurrent layer	recurrent layer	
241	T	A A N	recurrent neural network	recurrent neural network	9
162	T	N	ReLU	relu	12
731	T	N N	research community	research community	4
49	T	A N	residual connections	residual connection	26
118	T	A N	residual encoder	residual encoder	15
214	T	N N	reversal layer	reversal layer	10
	T	N	RNN	rnn	
	T	A	RNN-based	Rnn-based	
216	T	N	RNNs	rnns	10
1576	T	A N	rule-based	rule-based	2
1156	T	A N N	Rule-based G2P	rule-base g2p	
2470	T	A A N	rule-based morphological analysis	rule-based morphological analysis	2
955	T	N	SAMPA	sampa	3
2278	T	A	SAMPA-based	sampa-based	1
	T	N	SampleRNN	samplernn	
	T	N N	segmentation model	segmentation model	
	T	N	self-attention	self-attention	
173	T	A	seq2seq	seq2seq	23
2496	T	N	seq2seq-attention	seq2seq-attention	1
	T	N P N	sequence to sequence	sequence to sequence	
296	T	A N N	sequence-level knowledge distillation	sequence-level knowledge distillation	8
2385	T	N	Sequence-to-sequence	sequence-to-sequence	
570	T	N	shared-tandem	shared-tandem	4
	T	N	sigmoid	sigmoid	
2023	T	A N	sigmoid function	sigmoid function	2
645	T	N	Simple4All	simple4all	8
311	V[s]	A N N	slow inference speed	slow inference speed	5
143	T	N	softmax	softmax	13
622	T	N N N	speaker encoder network	speaker encoder network	4
346	T	A N	speaker-adversarial loss	speaker-adversarial loss	7
111	T	A	spectral	spectral	31
563	T	A N	spectral envelope	spectral envelope	4
25	T	N	spectrogram	spectrogram	92
2873	T	N	spectrum	spectrum	13
2682	T	N	speech	speech	616
643	T	N C N N	speech and language technology	speech and language technology	4
642	T	N C N N	speech and text data	speech and text datum	4
652	T	N N N	speech parameter generation	speech parameter generation	4
191	T	N N N	speech processing	speech processing	11
718	T	N N	speech rate	speech rate	4
17	T	N N	speech recognition	speech recognition	51
559	T	N N	speech recording	speech recording	4
257	T	N N 	speech synthesis	speech synthesis	8
736	T	N N	speech technology	speech technology	4
2008	T	N N	Speech Translation	speech translation	2
254	T	N N	speech waveform	speech waveform	9
	T	A	speech-enabled	speech-enabled	
	T	A N	speech-related tasks	speech-related task	
138	T	N N	speech-to-speech translation	speech-to-speech translation	13
	T	N N N	SRI Language Model	sri language model	
2092	T	A N	statistical approaches	statistical approach	2
756	T	A N	statistical models	statistical model	7
150	T	A A N	statistical parametric speech	statistical parametric speech	13
189	T	A A	statistical parametric	statistical parametric	11
177	T	N	STFT	stft	11
384	T	N N	STFT loss	stft loss	6
2593	T	A	syllable-based	syllable-based	1
85	T	N N	synthesis model	synthesis model	19
	T	A N	synthesized speech	synthesize speech	
353	T	N N	synthesizer network	synthesizer network	6
246	T	A N	synthetic speech	synthetic speech	9
450	T	A N	synthetic voices	synthetic voice	10
39	T	N	Tacotron	tacotron	64
2265	T	A N	Tacotron-generated spectrograms	tacotron-generated spectrograms	1
142	T	N	TANH	tanh	13
38	T	N N	target language	target language	33
658	T	N N	target spectrogram	target spectrogram	4
	T	N	TCN	tcn	
	T	A N N	temporal convolution network	temporal convolution network	
	T	N P N	text to speech	text to speech	
161	T	N	Text-to-spectrogram	text-to-spectrogram	
11	T	N	text-to-speech	text-to-speech	66
	T	N	time-dependent	time-dependent	
72	T	N	toolkit	toolkit	45
455	T	A N N	trainable speaker embeddings	trainable speaker embeddings	5
	T	N	transducers	transducer	
2396	T	A	transformation-based	transformation-based	1
	T	N	transformer	transform	
105	T	N N	Transformer TTS	transformer tts	17
2339	T	N	tri-grapheme	tri-grapheme	1
	T	N N	trigram perplexities	trigram perplexity	
2464	T	N	triphone-context	triphone-context	2
20	T	N	TTS	tts	
46	T	N	Tundra	tundra	27
596	T	N N	unit selection	unit selection	8
475	V[s]	A N P N	unsupervised adaptation of TTS	unsupervised adaptation of tts	2
1475	T	A A N	unsupervised cross-lingual adaptation	unsupervised cross-lingual adaptation	2
475	V[s]	A A N N	unsupervised cross-lingual speaker adaptation	unsupervised cross-lingual speaker adaptation	3
623	T	A N	variational autoencoder	variational autoencoder	4
1555	T	A A A N	variational autoencoder-like residual encoder	variational autoencoder-like residual encoder	4
641	T	A A N	variational residual encoder	variational residual encoder	4
8	T	N	vector	vector	75
262	T	A N	vocal model	vocal model	8
280	T	A N	vocal range	vocal range	8
5	T	N	vocoder	vocoder	95
363	T	N N	vocoder parameters	vocoder parameter	6
2503	T	A	vocoding	vocoding	2
208	T	N N	voice synthesis	voice synthesis	10
2359	T	N	VoxCeleb	voxceleb	2
276	T	N	VTLN	vtln	8
37	T	N	waveform	waveform	67
735	T	A	waveform-level	waveform-level	8
255	T	N	WaveGlow	waveglow	17
13	T	N	WaveNet	wavenet	57
572	T	N N	WaveNet vocoder	wavenet vocoder	4
704	T	A	WaveNet-based	wavenet-based	4
126	T	N	WaveVAE	wavevae	14
	T	N	WER	Wer	
431	T	N	WERs	wers	5
197	T	N	WFSTs	wfsts	10
2397	T	A N	wide-spread languages	wide-spread language	2
128	T	N N N	word error rate	word error rate	14
	T	A	word-base	Word-base	
265	T	N N	WORLD vocoder	world vocoder	8
	T	N	DNN	dnn	
